fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida
2020-01-01,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,1,1,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,1,1,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,2,2,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,1,1,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,1,1,0,0,0,0
2020-02-25,2,2,0,0,0,0
2020-02-26,1,1,0,0,0,0
2020-02-27,0,0,0,0,0,0
2020-02-28,2,2,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,1,1,0,0,0,0
2020-03-02,4,4,0,0,0,0
2020-03-03,2,2,0,0,0,0
2020-03-04,3,3,0,0,0,0
2020-03-05,5,5,0,0,0,0
2020-03-06,4,4,0,0,0,0
2020-03-07,6,6,0,0,0,0
2020-03-08,2,2,0,0,0,0
2020-03-09,23,23,0,0,0,0
2020-03-10,15,15,0,0,0,0
2020-03-11,27,27,0,0,0,0
2020-03-12,30,30,0,0,0,0
2020-03-13,39,39,0,0,0,0
2020-03-14,37,37,0,0,0,0
2020-03-15,57,57,0,0,0,0
2020-03-16,66,66,0,0,0,0
2020-03-17,52,52,0,0,0,0
2020-03-18,35,35,0,0,0,0
2020-03-19,54,54,0,0,0,0
2020-03-20,100,100,0,0,0,0
2020-03-21,51,50,0,0,1,0
2020-03-22,40,40,0,0,0,0
2020-03-23,73,73,0,0,0,0
2020-03-24,50,50,0,0,0,0
2020-03-25,42,42,0,0,0,0
2020-03-26,48,48,0,0,0,0
2020-03-27,49,49,0,0,0,0
2020-03-28,31,31,0,0,0,0
2020-03-29,37,37,0,0,0,0
2020-03-30,71,71,0,0,0,0
2020-03-31,43,43,0,0,0,0
2020-04-01,38,38,0,0,0,0
2020-04-02,117,117,0,0,0,0
2020-04-03,48,48,0,0,0,0
2020-04-04,40,40,0,0,0,0
2020-04-05,17,16,1,0,0,0
2020-04-06,35,35,0,0,0,0
2020-04-07,40,40,0,0,0,0
2020-04-08,35,35,0,0,0,0
2020-04-09,42,42,0,0,0,0
2020-04-10,18,18,0,0,0,0
2020-04-11,7,7,0,0,0,0
2020-04-12,13,13,0,0,0,0
2020-04-13,14,14,0,0,0,0
2020-04-14,12,12,0,0,0,0
2020-04-15,12,12,0,0,0,0
2020-04-16,20,20,0,0,0,0
2020-04-17,15,14,1,0,0,0
2020-04-18,14,14,0,0,0,0
2020-04-19,15,14,1,0,0,0
2020-04-20,17,16,1,0,0,0
2020-04-21,7,7,0,0,0,0
2020-04-22,7,6,1,0,0,0
2020-04-23,10,10,0,0,0,0
2020-04-24,5,5,0,0,0,0
2020-04-25,7,7,0,0,0,0
2020-04-26,6,5,1,0,0,0
2020-04-27,6,6,0,0,0,0
2020-04-28,1,1,0,0,0,0
2020-04-29,3,3,0,0,0,0
2020-04-30,2,2,0,0,0,0
2020-05-01,8,8,0,0,0,0
2020-05-02,2,2,0,0,0,0
2020-05-03,2,2,0,0,0,0
2020-05-04,4,4,0,0,0,0
2020-05-05,1,1,0,0,0,0
2020-05-06,4,4,0,0,0,0
2020-05-07,2,2,0,0,0,0
2020-05-08,2,1,0,0,1,0
2020-05-09,1,1,0,0,0,0
2020-05-10,2,1,1,0,0,0
2020-05-11,1,1,0,0,0,0
2020-05-12,2,2,0,0,0,0
2020-05-13,2,2,0,0,0,0
2020-05-14,1,1,0,0,0,0
2020-05-15,3,3,0,0,0,0
2020-05-16,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0
2020-05-18,2,2,0,0,0,0
2020-05-19,1,1,0,0,0,0
2020-05-20,1,1,0,0,0,0
2020-05-21,0,0,0,0,0,0
2020-05-22,2,2,0,0,0,0
2020-05-23,2,2,0,0,0,0
2020-05-24,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0
2020-05-27,1,1,0,0,0,0
2020-05-28,0,0,0,0,0,0
2020-05-29,1,1,0,0,0,0
2020-05-30,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0
2020-06-14,1,1,0,0,0,0
2020-06-15,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0
2020-06-20,1,1,0,0,0,0
2020-06-21,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0
2020-06-25,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0
2020-06-28,1,1,0,0,0,0
2020-06-29,0,0,0,0,0,0
2020-06-30,1,1,0,0,0,0
2020-07-01,1,1,0,0,0,0
2020-07-02,1,1,0,0,0,0
2020-07-03,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0
2020-07-05,2,2,0,0,0,0
2020-07-06,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0
2020-07-08,1,1,0,0,0,0
2020-07-09,0,0,0,0,0,0
2020-07-10,1,1,0,0,0,0
2020-07-11,2,2,0,0,0,0
2020-07-12,0,0,0,0,0,0
2020-07-13,0,0,0,0,0,0
2020-07-14,0,0,0,0,0,0
2020-07-15,1,1,0,0,0,0
2020-07-16,0,0,0,0,0,0
2020-07-17,0,0,0,0,0,0
2020-07-18,0,0,0,0,0,0
2020-07-19,1,1,0,0,0,0
2020-07-20,0,0,0,0,0,0
2020-07-21,1,1,0,0,0,0
2020-07-22,2,1,0,1,0,0
2020-07-23,0,0,0,0,0,0
2020-07-24,1,1,0,0,0,0
2020-07-25,1,1,0,0,0,0
2020-07-26,2,2,0,0,0,0
2020-07-27,4,4,0,0,0,0
2020-07-28,0,0,0,0,0,0
2020-07-29,3,3,0,0,0,0
2020-07-30,1,1,0,0,0,0
2020-07-31,5,5,0,0,0,0
2020-08-01,4,4,0,0,0,0
2020-08-02,6,6,0,0,0,0
2020-08-03,2,2,0,0,0,0
2020-08-04,4,4,0,0,0,0
2020-08-05,3,3,0,0,0,0
2020-08-06,2,2,0,0,0,0
2020-08-07,5,5,0,0,0,0
2020-08-08,5,5,0,0,0,0
2020-08-09,12,12,0,0,0,0
2020-08-10,11,11,0,0,0,0
2020-08-11,11,11,0,0,0,0
2020-08-12,9,9,0,0,0,0
2020-08-13,12,12,0,0,0,0
2020-08-14,27,27,0,0,0,0
2020-08-15,21,21,0,0,0,0
2020-08-16,22,22,0,0,0,0
2020-08-17,22,22,0,0,0,0
2020-08-18,18,18,0,0,0,0
2020-08-19,10,10,0,0,0,0
2020-08-20,17,17,0,0,0,0
2020-08-21,16,16,0,0,0,0
2020-08-22,13,13,0,0,0,0
2020-08-23,26,26,0,0,0,0
2020-08-24,26,26,0,0,0,0
2020-08-25,37,37,0,0,0,0
2020-08-26,22,22,0,0,0,0
2020-08-27,30,30,0,0,0,0
2020-08-28,32,32,0,0,0,0
2020-08-29,29,29,0,0,0,0
2020-08-30,16,16,0,0,0,0
2020-08-31,18,18,0,0,0,0
2020-09-01,26,26,0,0,0,0
2020-09-02,33,33,0,0,0,0
2020-09-03,25,25,0,0,0,0
2020-09-04,29,29,0,0,0,0
2020-09-05,22,22,0,0,0,0
2020-09-06,27,27,0,0,0,0
2020-09-07,17,17,0,0,0,0
2020-09-08,30,30,0,0,0,0
2020-09-09,29,29,0,0,0,0
2020-09-10,31,31,0,0,0,0
2020-09-11,26,26,0,0,0,0
2020-09-12,24,24,0,0,0,0
2020-09-13,39,39,0,0,0,0
2020-09-14,23,23,0,0,0,0
2020-09-15,43,43,0,0,0,0
2020-09-16,29,29,0,0,0,0
2020-09-17,39,39,0,0,0,0
2020-09-18,29,29,0,0,0,0
2020-09-19,87,87,0,0,0,0
2020-09-20,57,57,0,0,0,0
2020-09-21,45,45,0,0,0,0
2020-09-22,54,54,0,0,0,0
2020-09-23,43,43,0,0,0,0
2020-09-24,65,65,0,0,0,0
2020-09-25,60,60,0,0,0,0
2020-09-26,56,56,0,0,0,0
2020-09-27,52,52,0,0,0,0
2020-09-28,69,69,0,0,0,0
2020-09-29,45,45,0,0,0,0
2020-09-30,70,70,0,0,0,0
2020-10-01,90,90,0,0,0,0
2020-10-02,83,83,0,0,0,0
2020-10-03,99,99,0,0,0,0
2020-10-04,83,83,0,0,0,0
2020-10-05,105,105,0,0,0,0
2020-10-06,197,197,0,0,0,0
2020-10-07,77,77,0,0,0,0
2020-10-08,146,146,0,0,0,0
2020-10-09,125,125,0,0,0,0
2020-10-10,88,88,0,0,0,0
2020-10-11,90,90,0,0,0,0
2020-10-12,84,84,0,0,0,0
2020-10-13,67,67,0,0,0,0
2020-10-14,76,76,0,0,0,0
2020-10-15,91,91,0,0,0,0
2020-10-16,94,93,0,1,0,0
2020-10-17,69,68,0,1,0,0
2020-10-18,75,75,0,0,0,0
2020-10-19,69,69,0,0,0,0
2020-10-20,73,72,0,1,0,0
2020-10-21,94,93,0,1,0,0
2020-10-22,81,81,0,0,0,0
2020-10-23,64,63,0,1,0,0
2020-10-24,142,142,0,0,0,0
2020-10-25,89,89,0,0,0,0
2020-10-26,82,81,0,1,0,0
2020-10-27,66,66,0,0,0,0
2020-10-28,62,59,0,3,0,0
2020-10-29,105,102,0,3,0,0
2020-10-30,50,48,0,2,0,0
2020-10-31,44,43,0,1,0,0
2020-11-01,56,54,0,2,0,0
2020-11-02,41,40,0,1,0,0
2020-11-03,51,50,0,1,0,0
2020-11-04,49,49,0,0,0,0
2020-11-05,38,38,0,0,0,0
2020-11-06,59,59,0,0,0,0
2020-11-07,49,48,0,1,0,0
2020-11-08,31,30,0,1,0,0
2020-11-09,49,47,0,2,0,0
2020-11-10,33,33,0,0,0,0
2020-11-11,35,34,0,1,0,0
2020-11-12,38,35,0,3,0,0
2020-11-13,27,26,0,1,0,0
2020-11-14,48,47,0,1,0,0
2020-11-15,32,31,0,1,0,0
2020-11-16,40,39,0,1,0,0
2020-11-17,25,25,0,0,0,0
2020-11-18,45,44,0,1,0,0
2020-11-19,40,39,0,1,0,0
2020-11-20,22,22,0,0,0,0
2020-11-21,19,17,0,2,0,0
2020-11-22,17,17,0,0,0,0
2020-11-23,33,32,0,1,0,0
2020-11-24,24,24,0,0,0,0
2020-11-25,9,7,0,2,0,0
2020-11-26,20,19,0,1,0,0
2020-11-27,12,12,0,0,0,0
2020-11-28,12,11,0,1,0,0
2020-11-29,17,17,0,0,0,0
2020-11-30,20,17,0,3,0,0
2020-12-01,25,24,0,1,0,0
2020-12-02,40,38,0,2,0,0
2020-12-03,24,23,0,1,0,0
2020-12-04,34,34,0,0,0,0
2020-12-05,26,25,0,1,0,0
2020-12-06,20,19,0,1,0,0
2020-12-07,26,24,0,2,0,0
2020-12-08,28,25,0,3,0,0
2020-12-09,36,33,0,3,0,0
2020-12-10,41,37,0,4,0,0
2020-12-11,33,29,0,4,0,0
2020-12-12,38,38,0,0,0,0
2020-12-13,24,22,0,2,0,0
2020-12-14,36,34,0,2,0,0
2020-12-15,37,32,0,5,0,0
2020-12-16,45,44,0,1,0,0
2020-12-17,32,28,0,4,0,0
2020-12-18,23,21,0,2,0,0
2020-12-19,20,17,0,3,0,0
2020-12-20,40,34,0,6,0,0
2020-12-21,36,27,0,9,0,0
2020-12-22,48,39,0,9,0,0
2020-12-23,41,35,0,6,0,0
2020-12-24,47,41,0,6,0,0
2020-12-25,35,33,0,2,0,0
2020-12-26,41,36,0,5,0,0
2020-12-27,38,33,0,5,0,0
2020-12-28,56,43,0,13,0,0
2020-12-29,36,28,0,8,0,0
2020-12-30,70,66,0,4,0,0
2020-12-31,54,46,0,8,0,0
2021-01-01,47,37,0,10,0,0
2021-01-02,74,64,0,10,0,0
2021-01-03,98,76,0,21,0,1
2021-01-04,95,78,0,16,0,1
2021-01-05,118,101,0,17,0,0
2021-01-06,97,74,0,23,0,0
2021-01-07,130,111,0,19,0,0
2021-01-08,148,132,0,16,0,0
2021-01-09,112,86,0,26,0,0
2021-01-10,134,107,0,27,0,0
2021-01-11,165,132,0,33,0,0
2021-01-12,167,145,0,22,0,0
2021-01-13,190,159,0,31,0,0
2021-01-14,157,124,0,33,0,0
2021-01-15,219,172,0,47,0,0
2021-01-16,191,155,0,36,0,0
2021-01-17,198,155,0,43,0,0
