fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida
2020-01-01,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,1,1,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,2,2,0,0,0,0
2020-02-28,1,1,0,0,0,0
2020-02-29,0,0,0,0,0,0
2020-03-01,2,2,0,0,0,0
2020-03-02,1,1,0,0,0,0
2020-03-03,1,1,0,0,0,0
2020-03-04,1,1,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,2,2,0,0,0,0
2020-03-07,3,3,0,0,0,0
2020-03-08,6,6,0,0,0,0
2020-03-09,8,8,0,0,0,0
2020-03-10,16,16,0,0,0,0
2020-03-11,13,13,0,0,0,0
2020-03-12,21,21,0,0,0,0
2020-03-13,27,27,0,0,0,0
2020-03-14,24,24,0,0,0,0
2020-03-15,27,27,0,0,0,0
2020-03-16,38,38,0,0,0,0
2020-03-17,27,27,0,0,0,0
2020-03-18,19,19,0,0,0,0
2020-03-19,26,26,0,0,0,0
2020-03-20,41,41,0,0,0,0
2020-03-21,32,31,0,0,1,0
2020-03-22,17,17,0,0,0,0
2020-03-23,49,49,0,0,0,0
2020-03-24,32,31,0,0,1,0
2020-03-25,39,39,0,0,0,0
2020-03-26,36,36,0,0,0,0
2020-03-27,31,31,0,0,0,0
2020-03-28,22,22,0,0,0,0
2020-03-29,32,32,0,0,0,0
2020-03-30,19,19,0,0,0,0
2020-03-31,18,18,0,0,0,0
2020-04-01,21,19,0,0,2,0
2020-04-02,14,14,0,0,0,0
2020-04-03,19,19,0,0,0,0
2020-04-04,4,4,0,0,0,0
2020-04-05,8,8,0,0,0,0
2020-04-06,6,6,0,0,0,0
2020-04-07,4,4,0,0,0,0
2020-04-08,9,9,0,0,0,0
2020-04-09,24,24,0,0,0,0
2020-04-10,1,1,0,0,0,0
2020-04-11,1,1,0,0,0,0
2020-04-12,2,2,0,0,0,0
2020-04-13,4,4,0,0,0,0
2020-04-14,4,3,0,0,1,0
2020-04-15,2,2,0,0,0,0
2020-04-16,0,0,0,0,0,0
2020-04-17,0,0,0,0,0,0
2020-04-18,12,12,0,0,0,0
2020-04-19,2,1,1,0,0,0
2020-04-20,3,3,0,0,0,0
2020-04-21,2,1,0,0,1,0
2020-04-22,0,0,0,0,0,0
2020-04-23,1,1,0,0,0,0
2020-04-24,1,0,0,0,1,0
2020-04-25,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0
2020-04-27,0,0,0,0,0,0
2020-04-28,3,3,0,0,0,0
2020-04-29,0,0,0,0,0,0
2020-04-30,2,1,1,0,0,0
2020-05-01,1,1,0,0,0,0
2020-05-02,2,2,0,0,0,0
2020-05-03,0,0,0,0,0,0
2020-05-04,1,1,0,0,0,0
2020-05-05,0,0,0,0,0,0
2020-05-06,0,0,0,0,0,0
2020-05-07,0,0,0,0,0,0
2020-05-08,1,1,0,0,0,0
2020-05-09,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0
2020-05-11,1,1,0,0,0,0
2020-05-12,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0
2020-05-14,1,1,0,0,0,0
2020-05-15,0,0,0,0,0,0
2020-05-16,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0
2020-05-20,1,1,0,0,0,0
2020-05-21,0,0,0,0,0,0
2020-05-22,1,1,0,0,0,0
2020-05-23,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0
2020-05-25,2,2,0,0,0,0
2020-05-26,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0
2020-05-28,1,1,0,0,0,0
2020-05-29,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0
2020-06-04,1,1,0,0,0,0
2020-06-05,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0
2020-06-08,1,1,0,0,0,0
2020-06-09,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0
2020-06-11,1,1,0,0,0,0
2020-06-12,1,1,0,0,0,0
2020-06-13,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0
2020-06-15,2,2,0,0,0,0
2020-06-16,0,0,0,0,0,0
2020-06-17,1,1,0,0,0,0
2020-06-18,0,0,0,0,0,0
2020-06-19,2,2,0,0,0,0
2020-06-20,0,0,0,0,0,0
2020-06-21,3,3,0,0,0,0
2020-06-22,0,0,0,0,0,0
2020-06-23,4,4,0,0,0,0
2020-06-24,5,5,0,0,0,0
2020-06-25,8,8,0,0,0,0
2020-06-26,4,4,0,0,0,0
2020-06-27,5,5,0,0,0,0
2020-06-28,8,8,0,0,0,0
2020-06-29,8,8,0,0,0,0
2020-06-30,13,13,0,0,0,0
2020-07-01,17,17,0,0,0,0
2020-07-02,14,14,0,0,0,0
2020-07-03,23,23,0,0,0,0
2020-07-04,16,16,0,0,0,0
2020-07-05,23,23,0,0,0,0
2020-07-06,14,14,0,0,0,0
2020-07-07,19,19,0,0,0,0
2020-07-08,27,27,0,0,0,0
2020-07-09,18,18,0,0,0,0
2020-07-10,5,5,0,0,0,0
2020-07-11,7,7,0,0,0,0
2020-07-12,4,4,0,0,0,0
2020-07-13,4,4,0,0,0,0
2020-07-14,0,0,0,0,0,0
2020-07-15,3,3,0,0,0,0
2020-07-16,1,0,0,0,1,0
2020-07-17,5,5,0,0,0,0
2020-07-18,2,2,0,0,0,0
2020-07-19,2,1,0,0,1,0
2020-07-20,2,2,0,0,0,0
2020-07-21,10,10,0,0,0,0
2020-07-22,4,4,0,0,0,0
2020-07-23,6,6,0,0,0,0
2020-07-24,3,3,0,0,0,0
2020-07-25,4,4,0,0,0,0
2020-07-26,0,0,0,0,0,0
2020-07-27,1,1,0,0,0,0
2020-07-28,1,1,0,0,0,0
2020-07-29,3,2,0,1,0,0
2020-07-30,1,1,0,0,0,0
2020-07-31,2,2,0,0,0,0
2020-08-01,7,7,0,0,0,0
2020-08-02,4,4,0,0,0,0
2020-08-03,8,8,0,0,0,0
2020-08-04,11,11,0,0,0,0
2020-08-05,9,9,0,0,0,0
2020-08-06,4,4,0,0,0,0
2020-08-07,7,7,0,0,0,0
2020-08-08,13,13,0,0,0,0
2020-08-09,8,8,0,0,0,0
2020-08-10,11,11,0,0,0,0
2020-08-11,7,7,0,0,0,0
2020-08-12,8,8,0,0,0,0
2020-08-13,8,8,0,0,0,0
2020-08-14,11,11,0,0,0,0
2020-08-15,23,23,0,0,0,0
2020-08-16,30,30,0,0,0,0
2020-08-17,25,25,0,0,0,0
2020-08-18,37,37,0,0,0,0
2020-08-19,35,35,0,0,0,0
2020-08-20,81,81,0,0,0,0
2020-08-21,29,29,0,0,0,0
2020-08-22,45,45,0,0,0,0
2020-08-23,54,54,0,0,0,0
2020-08-24,60,60,0,0,0,0
2020-08-25,109,109,0,0,0,0
2020-08-26,57,57,0,0,0,0
2020-08-27,53,53,0,0,0,0
2020-08-28,62,62,0,0,0,0
2020-08-29,56,56,0,0,0,0
2020-08-30,51,51,0,0,0,0
2020-08-31,28,28,0,0,0,0
2020-09-01,44,44,0,0,0,0
2020-09-02,37,37,0,0,0,0
2020-09-03,41,41,0,0,0,0
2020-09-04,56,56,0,0,0,0
2020-09-05,50,50,0,0,0,0
2020-09-06,35,35,0,0,0,0
2020-09-07,90,90,0,0,0,0
2020-09-08,56,56,0,0,0,0
2020-09-09,42,42,0,0,0,0
2020-09-10,24,24,0,0,0,0
2020-09-11,47,47,0,0,0,0
2020-09-12,41,41,0,0,0,0
2020-09-13,18,18,0,0,0,0
2020-09-14,22,22,0,0,0,0
2020-09-15,29,29,0,0,0,0
2020-09-16,22,22,0,0,0,0
2020-09-17,29,29,0,0,0,0
2020-09-18,19,19,0,0,0,0
2020-09-19,20,20,0,0,0,0
2020-09-20,14,14,0,0,0,0
2020-09-21,27,27,0,0,0,0
2020-09-22,27,27,0,0,0,0
2020-09-23,26,26,0,0,0,0
2020-09-24,19,19,0,0,0,0
2020-09-25,20,20,0,0,0,0
2020-09-26,24,24,0,0,0,0
2020-09-27,17,17,0,0,0,0
2020-09-28,21,21,0,0,0,0
2020-09-29,12,12,0,0,0,0
2020-09-30,19,19,0,0,0,0
2020-10-01,20,20,0,0,0,0
2020-10-02,28,28,0,0,0,0
2020-10-03,11,11,0,0,0,0
2020-10-04,20,20,0,0,0,0
2020-10-05,23,23,0,0,0,0
2020-10-06,26,26,0,0,0,0
2020-10-07,40,40,0,0,0,0
2020-10-08,23,22,0,1,0,0
2020-10-09,23,23,0,0,0,0
2020-10-10,22,22,0,0,0,0
2020-10-11,26,26,0,0,0,0
2020-10-12,19,19,0,0,0,0
2020-10-13,22,22,0,0,0,0
2020-10-14,23,23,0,0,0,0
2020-10-15,45,43,0,2,0,0
2020-10-16,32,32,0,0,0,0
2020-10-17,44,44,0,0,0,0
2020-10-18,50,50,0,0,0,0
2020-10-19,50,50,0,0,0,0
2020-10-20,55,54,0,1,0,0
2020-10-21,53,51,0,2,0,0
2020-10-22,52,51,0,1,0,0
2020-10-23,68,65,0,3,0,0
2020-10-24,66,66,0,0,0,0
2020-10-25,44,42,0,2,0,0
2020-10-26,73,68,0,5,0,0
2020-10-27,65,65,0,0,0,0
2020-10-28,113,113,0,0,0,0
2020-10-29,45,44,0,1,0,0
2020-10-30,114,112,0,2,0,0
2020-10-31,63,63,0,0,0,0
2020-11-01,71,68,0,3,0,0
2020-11-02,71,71,0,0,0,0
2020-11-03,71,69,0,2,0,0
2020-11-04,87,87,0,0,0,0
2020-11-05,71,71,0,0,0,0
2020-11-06,59,57,0,2,0,0
2020-11-07,51,51,0,0,0,0
2020-11-08,64,62,0,2,0,0
2020-11-09,41,40,0,1,0,0
2020-11-10,64,63,0,1,0,0
2020-11-11,66,65,0,1,0,0
2020-11-12,64,64,0,0,0,0
2020-11-13,88,88,0,0,0,0
2020-11-14,43,43,0,0,0,0
2020-11-15,68,68,0,0,0,0
2020-11-16,48,45,0,3,0,0
2020-11-17,46,46,0,0,0,0
2020-11-18,174,174,0,0,0,0
2020-11-19,44,43,0,1,0,0
2020-11-20,60,58,0,2,0,0
2020-11-21,39,39,0,0,0,0
2020-11-22,66,64,0,2,0,0
2020-11-23,40,39,0,1,0,0
2020-11-24,61,58,0,3,0,0
2020-11-25,38,35,0,3,0,0
2020-11-26,23,23,0,0,0,0
2020-11-27,36,36,0,0,0,0
2020-11-28,29,25,0,4,0,0
2020-11-29,36,36,0,0,0,0
2020-11-30,32,31,0,1,0,0
2020-12-01,45,45,0,0,0,0
2020-12-02,25,25,0,0,0,0
2020-12-03,39,37,0,2,0,0
2020-12-04,34,33,0,1,0,0
2020-12-05,24,24,0,0,0,0
2020-12-06,25,25,0,0,0,0
2020-12-07,23,22,0,1,0,0
2020-12-08,30,28,0,2,0,0
2020-12-09,15,14,0,1,0,0
2020-12-10,24,21,0,3,0,0
2020-12-11,19,18,0,1,0,0
2020-12-12,20,19,0,1,0,0
2020-12-13,22,16,0,6,0,0
2020-12-14,23,22,0,1,0,0
2020-12-15,22,21,0,1,0,0
2020-12-16,22,18,0,4,0,0
2020-12-17,25,22,0,3,0,0
2020-12-18,27,25,0,2,0,0
2020-12-19,26,25,0,1,0,0
2020-12-20,12,12,0,0,0,0
2020-12-21,21,20,0,1,0,0
2020-12-22,27,26,0,1,0,0
2020-12-23,37,36,0,1,0,0
2020-12-24,29,29,0,0,0,0
2020-12-25,28,24,0,4,0,0
2020-12-26,41,37,0,4,0,0
2020-12-27,27,26,0,1,0,0
2020-12-28,29,25,0,4,0,0
2020-12-29,59,57,0,2,0,0
2020-12-30,50,45,0,5,0,0
2020-12-31,46,45,0,1,0,0
2021-01-01,45,40,0,3,0,2
2021-01-02,60,55,0,4,0,1
2021-01-03,60,52,0,4,0,4
2021-01-04,61,57,0,3,0,1
2021-01-05,63,55,0,7,0,1
2021-01-06,77,70,0,7,0,0
2021-01-07,96,90,0,5,0,1
2021-01-08,73,70,0,3,0,0
2021-01-09,81,76,0,5,0,0
2021-01-10,64,61,0,3,0,0
2021-01-11,96,92,0,4,0,0
2021-01-12,100,83,0,17,0,0
2021-01-13,104,95,0,8,0,1
2021-01-14,96,87,0,9,0,0
2021-01-15,132,113,0,19,0,0
2021-01-16,124,111,0,13,0,0
2021-01-17,86,79,0,7,0,0
